n_permutations_length,width,layers,model,final_train_loss,train_r2,train_rmse,train_spearman,test_r2,test_rmse,test_spearman,rmse_gap,spearman_gap,fit_time_sec,predict_time_sec,n_epochs,n_random_walks_to_generate,n_random_walk_length
8,4,[4],MLP_4_epochs10_rwlen28_n_rw10000,59.95375029013975,0.0929720401763916,7.69308614730835,0.24484714421429185,0.046955227851867676,7.8858208656311035,0.16105540333306712,0.1927347183227539,0.08379174088122474,1.53410005569458,0.053202152252197266,10,10000,28
8,8,[8],MLP_8_epochs10_rwlen28_n_rw10000,3.181913060863523,0.9538519978523254,1.7352688312530518,0.9766551364909498,0.8370424509048462,3.2608249187469482,0.9314336527435778,1.5255560874938965,0.045221483747372004,2.6637184619903564,0.05328536033630371,10,10000,28
8,16,[16],MLP_16_epochs10_rwlen28_n_rw10000,2.092770621289302,0.9698527455329895,1.4025357961654663,0.9843794261103929,0.8494410514831543,3.134321689605713,0.9399954663745652,1.7317858934402466,0.04438395973582765,1.5304985046386719,0.05367636680603027,10,10000,28
8,24,[24],MLP_24_epochs10_rwlen28_n_rw10000,2.126146571914645,0.9702029228210449,1.394366979598999,0.9844843001596685,0.8512450456619263,3.1154873371124268,0.9411245592737545,1.7211203575134277,0.04335974088591399,1.5286686420440674,0.053655385971069336,10,10000,28
8,32,[32],MLP_32_epochs10_rwlen28_n_rw10000,2.7111709966276685,0.9610496759414673,1.5942113399505615,0.9796704211120467,0.8576224446296692,3.0479724407196045,0.9420891621098287,1.453761100769043,0.03758125900221798,1.5271637439727783,0.05362415313720703,10,10000,28
8,48,[48],MLP_48_epochs10_rwlen28_n_rw10000,1.416012611919946,0.9804889559745789,1.128314733505249,0.9900931508045111,0.8573294281959534,3.051107168197632,0.9452764665089203,1.9227924346923828,0.044816684295590825,1.5232148170471191,0.05348968505859375,10,10000,28
8,64,[64],MLP_64_epochs10_rwlen28_n_rw10000,1.5945125872636363,0.9775382876396179,1.210631251335144,0.9882645692585972,0.856605052947998,3.0588433742523193,0.9453442507314987,1.8482121229171753,0.04292031852709843,1.5358750820159912,0.05349373817443848,10,10000,28
8,128,[128],MLP_128_epochs10_rwlen28_n_rw10000,1.2274851041988735,0.9836257696151733,1.0336437225341797,0.9916511306098668,0.8599056005477905,3.023435354232788,0.9465443194376247,1.9897916316986084,0.04510681117224202,1.5500245094299316,0.053508758544921875,10,10000,28
8,256,[256],MLP_256_epochs10_rwlen28_n_rw10000,1.4910515511993074,0.9823258519172668,1.0738885402679443,0.9910846812823018,0.8608840107917786,3.0128588676452637,0.9445572034624987,1.9389703273773193,0.04652747781980304,1.5486841201782227,0.05351758003234863,10,10000,28
8,512,[512],MLP_512_epochs10_rwlen28_n_rw10000,0.9751782391193139,0.9888275265693665,0.8538176417350769,0.9943331003573505,0.8552665114402771,3.0730865001678467,0.9478084285992636,2.2192688584327698,0.04652467175808683,1.5567493438720703,0.053633689880371094,10,10000,28
