n,model,params_hash,params,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,train_spearman,val_spearman,test_spearman,fit_time,predict_time,n_features,n_train,n_val,n_test,best_iteration,model_path
16,lgb,learning_rate=0.1_max_depth=8_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 8, ""learning_rate"": 0.1}",0.6224397961936896,0.5882236155404938,0.5612441463024573,22.695860071348616,23.7680030319228,24.474709993390526,0.7877485139898744,0.7636565377743039,0.7438462568446853,48.919161319732666,1.2296972274780273,131,425000,75000,64000,999,
32,lgb,learning_rate=0.1_max_depth=8_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 8, ""learning_rate"": 0.1}",0.7031717667511517,0.6551653025152405,0.6276681936020724,40.266882254965175,43.469589070855605,45.093204340462236,0.8381075043725298,0.8035575091556563,0.7866572137781831,77.46754312515259,2.618093490600586,227,425000,75000,128000,1000,
8,lgb,learning_rate=0.05_max_depth=6_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 6, ""learning_rate"": 0.05}",0.5026683043790457,0.491114076191579,0.5030879958061549,13.019856752247785,13.177116790486712,13.021951521609562,0.7060327751216693,0.697387569773747,0.7067560623575682,31.92200756072998,0.5112810134887695,83,425000,75000,32000,999,
8,lgb,learning_rate=0.1_max_depth=6_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 6, ""learning_rate"": 0.1}",0.5114880222128569,0.4996237569274863,0.5015587490105797,12.897800720648528,13.047452562292365,13.041973658160014,0.712607747172421,0.7041554017974457,0.7057634208468657,24.450220823287964,0.4898998737335205,83,425000,75000,32000,992,
8,lgb,learning_rate=0.2_max_depth=6_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 6, ""learning_rate"": 0.2}",0.509468937893395,0.49795951257453797,0.5009811001986686,12.942415179272661,13.09816689370471,13.049528710156714,0.7110786837654381,0.7022036794728563,0.7055017712766645,13.69455075263977,0.22785210609436035,83,425000,75000,32000,442,
8,lgb,learning_rate=0.05_max_depth=8_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 8, ""learning_rate"": 0.05}",0.5055286535321737,0.49946150409037227,0.5028825652508307,12.994636899092605,13.090705864664699,13.02464297430659,0.7084501693575112,0.7038519980568918,0.7063613653501845,25.04335045814514,0.4394564628601074,83,425000,75000,32000,999,
8,lgb,learning_rate=0.1_max_depth=8_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 8, ""learning_rate"": 0.1}",0.5142302651871458,0.497695536289961,0.5037800904604681,12.872379811673875,13.090846145611831,13.012879932219665,0.7144234842669875,0.7020295803048886,0.7073661333810768,22.581425428390503,0.3808877468109131,83,425000,75000,32000,942,
8,lgb,learning_rate=0.2_max_depth=8_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 8, ""learning_rate"": 0.2}",0.5055479740617257,0.4931230670166723,0.4990864563920657,12.98616394470631,13.131466523236632,13.074278058700127,0.7086595118182709,0.698916544053494,0.7039024200985512,12.959606170654297,0.18820953369140625,83,425000,75000,32000,451,
8,lgb,learning_rate=0.05_max_depth=10_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 10, ""learning_rate"": 0.05}",0.5053406604286195,0.4911686965826927,0.5039507424044918,12.999411417812752,13.188901308991293,13.010642149965818,0.7085598933778766,0.6966693932265696,0.7072376656656757,28.888922929763794,0.4245789051055908,83,425000,75000,32000,1000,
8,lgb,learning_rate=0.1_max_depth=10_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 10, ""learning_rate"": 0.1}",0.5093171610266274,0.5009615825354755,0.5032044775884956,12.943585283143014,13.073164577562844,13.020425185950183,0.7111130860643965,0.7047205265861559,0.7066415385471521,18.995357751846313,0.2933347225189209,83,425000,75000,32000,736,
8,lgb,learning_rate=0.2_max_depth=10_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 10, ""learning_rate"": 0.2}",0.5085394584229372,0.49032981407072673,0.5020949324434427,12.944056865349769,13.169824740538365,13.03495701196115,0.7106758342842723,0.696864317725569,0.7063785697064888,14.982864141464233,0.20555639266967773,83,425000,75000,32000,535,
8,lgb,learning_rate=0.05_max_depth=12_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 12, ""learning_rate"": 0.05}",0.5046663436145264,0.49636046022278557,0.5039495275484929,13.001019179111845,13.134440638320498,13.01065808189873,0.7079109728384746,0.701358597778621,0.7070383723185211,24.404436349868774,0.4179396629333496,83,425000,75000,32000,997,
8,lgb,learning_rate=0.1_max_depth=12_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 12, ""learning_rate"": 0.1}",0.507568376952046,0.4967063428842584,0.502245129065805,12.957042623676037,13.087205194099576,13.032990819696533,0.709769603606341,0.7009779924509991,0.7060443871810308,22.153782606124878,0.33826327323913574,83,425000,75000,32000,886,
8,lgb,learning_rate=0.2_max_depth=12_num_leaves=31,"{""num_leaves"": 31, ""max_depth"": 12, ""learning_rate"": 0.2}",0.5064574504363295,0.4930792133671863,0.5018375146075593,12.96938676662154,13.132603452983842,13.0383261249353,0.7091248059668792,0.6986105090812507,0.7061862376902711,12.622460842132568,0.18254923820495605,83,425000,75000,32000,439,
8,lgb,learning_rate=0.05_max_depth=6_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 6, ""learning_rate"": 0.05}",0.5093614605577454,0.4996180211221367,0.5015844737466222,12.935352264620143,13.074784230002278,13.0416371032921,0.7111511008552134,0.7042132166491397,0.7056833119754875,30.248533964157104,0.6198704242706299,83,425000,75000,32000,999,
8,lgb,learning_rate=0.1_max_depth=6_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 6, ""learning_rate"": 0.1}",0.5075556833275408,0.49389233513272124,0.5011700076302877,12.973896861243176,13.126539952220014,13.04705847676649,0.7101127962648419,0.7004273159083979,0.7051966568357639,23.90798258781433,0.34803152084350586,83,425000,75000,32000,548,
8,lgb,learning_rate=0.2_max_depth=6_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 6, ""learning_rate"": 0.2}",0.5070499223018083,0.49780931097763403,0.5007264588451499,12.960161009596876,13.109605539122935,13.052857768285556,0.7094732807291707,0.7033640386145885,0.7045401804188178,13.121840476989746,0.21518588066101074,83,425000,75000,32000,329,
8,lgb,learning_rate=0.05_max_depth=8_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 8, ""learning_rate"": 0.05}",0.5086714926376534,0.49808632453585633,0.5022868687312563,12.94861868132709,13.12390545355147,13.032444361878504,0.710973921096981,0.7021585537496016,0.7061594515920027,26.803761959075928,0.532296895980835,83,425000,75000,32000,850,
8,lgb,learning_rate=0.1_max_depth=8_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 8, ""learning_rate"": 0.1}",0.506851878891438,0.4929472598298067,0.5010616014214857,12.972285430453057,13.1448298836784,13.04847609933505,0.709675803033041,0.6987306399018818,0.7050489608083192,15.158218622207642,0.27028346061706543,83,425000,75000,32000,449,
8,lgb,learning_rate=0.2_max_depth=8_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 8, ""learning_rate"": 0.2}",0.5100666806337955,0.4979963104183348,0.503014277428932,12.925869067492838,13.089063939723081,13.022917408452567,0.7118320694969763,0.7031101511455534,0.7063675562520773,8.643177032470703,0.12099313735961914,83,425000,75000,32000,195,
8,lgb,learning_rate=0.05_max_depth=10_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 10, ""learning_rate"": 0.05}",0.5107269234449267,0.5000610458080387,0.5032702280812507,12.924696368195015,13.036929295586166,13.019563535974362,0.7122775484865402,0.7034010100895867,0.7067717608336659,26.14784550666809,0.4809408187866211,83,425000,75000,32000,907,
8,lgb,learning_rate=0.1_max_depth=10_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 10, ""learning_rate"": 0.1}",0.5112709290960175,0.5027423780704332,0.5024714157355756,12.924114023639751,13.048394772115051,13.030027988467056,0.7124608200328305,0.7053424813061668,0.7064292147487969,15.27515959739685,0.24670648574829102,83,425000,75000,32000,493,
8,lgb,learning_rate=0.2_max_depth=10_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 10, ""learning_rate"": 0.2}",0.5090391553840747,0.4938233732699916,0.5015321574817495,12.937713862559976,13.135120695999422,13.042321544086887,0.7108241759644547,0.7000530184767593,0.7057673079699675,9.70895791053772,0.13689923286437988,83,425000,75000,32000,263,
8,lgb,learning_rate=0.05_max_depth=12_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 12, ""learning_rate"": 0.05}",0.5080199480332164,0.49857439190294905,0.501936008301661,12.955311815230063,13.082795038802548,13.037037131459671,0.7103586807185417,0.7031053145369802,0.7058628836576524,29.848726749420166,0.415618896484375,83,425000,75000,32000,843,
8,lgb,learning_rate=0.1_max_depth=12_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 12, ""learning_rate"": 0.1}",0.5109866881159046,0.49616426867420216,0.5014255544069545,12.922310996787274,13.075254893035508,13.043716094680487,0.7123731053037184,0.701015843736966,0.7050442301871959,15.116502523422241,0.21817469596862793,83,425000,75000,32000,437,
8,lgb,learning_rate=0.2_max_depth=12_num_leaves=63,"{""num_leaves"": 63, ""max_depth"": 12, ""learning_rate"": 0.2}",0.5099823580020006,0.4943096672026017,0.5009398470967386,12.92929907043027,13.127842520860183,13.05006809094259,0.711412119730869,0.7004926828561358,0.7055612263499808,9.934492826461792,0.14254117012023926,83,425000,75000,32000,276,
8,lgb,learning_rate=0.05_max_depth=6_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 6, ""learning_rate"": 0.05}",0.5121454529484619,0.5042032157906122,0.502989454403384,12.89148882008459,13.01206929603887,13.023242633263237,0.7131808575370451,0.7061454859173483,0.7066423375445181,29.85140085220337,0.6157410144805908,83,425000,75000,32000,999,
8,lgb,learning_rate=0.1_max_depth=6_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 6, ""learning_rate"": 0.1}",0.5054617848333911,0.493798900685664,0.5027915211639586,12.986799069767082,13.13983645786927,13.025835612458769,0.7084499615506563,0.6993835925917713,0.7066191677196828,18.909074544906616,0.3295173645019531,83,425000,75000,32000,528,
