n,epochs,optimizer,lr,weight_decay,hidden_dim,test_r2,test_rmse,test_spearman,train_r2,train_rmse,fit_time,predict_time,final_train_loss,final_val_loss
16,25,adam,0.001,0.0,512,0.5704831480979919,24.215654373168945,0.750631511980971,-9.375364303588867,18.573659896850586,77.87740468978882,0.01933908462524414,567.4927723266602,583.8638916015625
16,25,adam,0.0005,0.0,512,0.5708910226821899,24.204153060913086,0.7510329944384149,-9.564427375793457,18.742124557495117,80.06201195716858,0.026874065399169922,569.1902451049805,581.9205322265625
16,25,adamw,0.001,0.01,512,0.5685725212097168,24.269453048706055,0.7493417565530176,-9.250531196594238,18.461585998535156,80.17710399627686,0.02061319351196289,566.3937909545898,597.7789306640625
16,25,adamw,0.0005,0.01,512,0.5696743130683899,24.23844337463379,0.7500267236628463,-10.59248161315918,19.63288116455078,78.99071836471558,0.019937992095947266,569.5393782958985,584.1549072265625
16,50,adam,0.001,0.0,512,0.5697770118713379,24.235551834106445,0.7500644384842945,-8.68271541595459,17.942974090576172,159.39849996566772,0.021065711975097656,563.9768073608399,598.6212768554688
16,50,adam,0.0005,0.0,512,0.5709315538406372,24.203012466430664,0.750881373523668,-9.232060432434082,18.444944381713867,162.89065647125244,0.020035982131958008,566.4192389526368,577.1187744140625
16,50,adamw,0.001,0.01,512,0.5685166120529175,24.271026611328125,0.749406562027752,-9.204103469848633,18.419729232788086,155.72165966033936,0.020272016525268555,563.4816267456055,588.8676147460938
16,50,adamw,0.0005,0.01,512,0.5705345273017883,24.214204788208008,0.7505402896582428,-8.061049461364746,17.3574161529541,155.62627577781677,0.02068305015563965,565.7906180419922,584.9091796875
16,100,adam,0.001,0.0,512,0.5700681209564209,24.22734832763672,0.7516066090043788,-6.602885723114014,15.899558067321777,311.7467427253723,0.02297043800354004,560.0878911621094,592.4984130859375
16,100,adam,0.0005,0.0,512,0.571408212184906,24.189563751220703,0.7512604174566074,-9.315707206726074,18.520185470581055,305.24831795692444,0.02196025848388672,566.0540118896485,594.3789672851562
16,100,adamw,0.001,0.01,512,0.5680273771286011,24.284780502319336,0.7491444260068729,-10.409786224365234,19.477561950683594,308.0459563732147,0.021377086639404297,565.8882732666016,591.1023559570312
16,100,adamw,0.0005,0.01,512,0.571637749671936,24.18308448791504,0.7513021023945154,-8.545059204101562,17.814971923828125,313.77450489997864,0.025070667266845703,568.6293314086914,584.999755859375
32,25,adam,0.001,0.0,512,0.6567879915237427,43.2939567565918,0.8054729019992515,-14.442736625671387,22.65989875793457,188.01778721809387,0.09192681312561035,1869.2455296386718,1882.283935546875
32,25,adam,0.0005,0.0,512,0.6615892648696899,42.99006271362305,0.8087509040780889,-13.405861854553223,21.88595199584961,190.6914346218109,0.09382009506225586,1870.0537046142579,1821.9656982421875
32,25,adamw,0.001,0.01,512,0.6610028743743896,43.02729797363281,0.8082846737036328,-13.48091983795166,21.942893981933594,190.94363045692444,0.09299468994140625,1893.8957685058595,1845.7451171875
32,25,adamw,0.0005,0.01,512,0.6596764326095581,43.111392974853516,0.8074025865035241,-14.768264770507812,22.897483825683594,189.98208594322205,0.09188175201416016,1872.5302993896485,1877.3916015625
32,50,adam,0.001,0.0,512,0.6598142981529236,43.102657318115234,0.8074493546810404,-13.389875411987305,21.87380599975586,372.8309106826782,0.09173393249511719,1860.925235961914,1893.763916015625
32,50,adam,0.0005,0.0,512,0.6610469222068787,43.024497985839844,0.8081865957484985,-14.380446434020996,22.614151000976562,372.96529960632324,0.09127402305603027,1887.8034395751954,1818.042724609375
32,50,adamw,0.001,0.01,512,0.659496009349823,43.12281799316406,0.8074509632792539,-12.194594383239746,20.945650100708008,379.6135723590851,0.0913858413696289,1883.3110629394532,1855.591552734375
32,50,adamw,0.0005,0.01,512,0.6587419509887695,43.17053985595703,0.8065956290238048,-14.15867805480957,22.450525283813477,379.88079142570496,0.09137582778930664,1871.6945251708985,1876.76953125
32,100,adam,0.001,0.0,512,0.6612050533294678,43.014461517333984,0.8083461565072146,-11.308037757873535,20.229736328125,745.3290622234344,0.09137701988220215,1871.631869165039,1866.1043701171875
32,100,adam,0.0005,0.0,512,0.6612931489944458,43.00886917114258,0.8081894307076769,-12.300583839416504,21.02960777282715,746.0165445804596,0.09142518043518066,1862.3296590332031,1847.7532958984375
32,100,adamw,0.001,0.01,512,0.6613247394561768,43.00686264038086,0.8085369173663596,-14.444782257080078,22.661399841308594,758.7041823863983,0.0906524658203125,1875.5193122070314,1870.5423583984375
