coset,d,k,n,diameter,last_layer_size,total_states,growth,central
5Different,3,4,13,68,3,17160,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 61, 67, 80, 92, 97, 106, 125, 147, 167, 181, 188, 193, 205, 230, 259, 286, 304, 308, 316, 348, 409, 482, 538, 547, 528, 521, 503, 514, 534, 542, 546, 522, 491, 485, 500, 519, 539, 542, 517, 449, 398, 370, 342, 309, 262, 224, 198, 183, 155, 130, 118, 94, 56, 34, 18, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,14,42,1,3528,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 67, 75, 81, 80, 88, 113, 147, 182, 211, 201, 185, 194, 199, 197, 194, 184, 155, 130, 107, 93, 71, 66, 69, 51, 27, 11, 7, 2, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,15,35,2,3000,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 68, 76, 81, 78, 77, 90, 112, 141, 179, 214, 239, 261, 255, 237, 163, 132, 93, 74, 50, 29, 9, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,16,49,2,6272,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 68, 77, 82, 79, 80, 91, 108, 132, 162, 188, 211, 241, 279, 310, 304, 281, 254, 237, 231, 236, 244, 251, 261, 272, 256, 232, 209, 160, 111, 90, 67, 46, 41, 27, 12, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,17,104,1,57120,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 68, 77, 83, 80, 81, 94, 111, 133, 159, 182, 201, 220, 243, 267, 287, 311, 330, 327, 308, 287, 290, 335, 410, 489, 556, 606, 632, 625, 597, 570, 540, 503, 492, 540, 640, 768, 894, 1007, 1105, 1162, 1171, 1168, 1178, 1153, 1096, 1045, 1017, 996, 1032, 1113, 1245, 1375, 1389, 1310, 1211, 1107, 1004, 938, 937, 963, 991, 1014, 1034, 1074, 1104, 1128, 1103, 1052, 977, 908, 818, 732, 626, 553, 515, 528, 563, 541, 493, 416, 346, 294, 251, 216, 167, 121, 85, 44, 17, 10, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,18,25,1,972,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 68, 77, 83, 79, 71, 74, 64, 59, 33, 18, 5, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,19,125,3,93024,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 68, 77, 83, 81, 83, 96, 115, 139, 165, 187, 204, 224, 242, 248, 253, 270, 299, 329, 355, 389, 420, 434, 426, 407, 411, 439, 487, 552, 613, 656, 678, 692, 717, 750, 775, 788, 799, 825, 871, 921, 955, 976, 999, 1037, 1101, 1178, 1276, 1415, 1534, 1545, 1485, 1442, 1412, 1394, 1410, 1436, 1465, 1508, 1561, 1601, 1646, 1639, 1577, 1534, 1492, 1463, 1481, 1522, 1567, 1589, 1558, 1487, 1464, 1519, 1574, 1614, 1625, 1570, 1483, 1401, 1298, 1229, 1185, 1119, 1064, 1023, 1000, 985, 957, 941, 881, 789, 734, 690, 642, 573, 493, 444, 390, 332, 308, 294, 284, 253, 210, 178, 126, 79, 45, 23, 9, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,3,4,20,71,1,16200,"[1, 2, 3, 5, 7, 10, 15, 22, 27, 33, 44, 52, 57, 62, 68, 77, 83, 81, 83, 97, 116, 140, 168, 190, 207, 227, 248, 259, 255, 257, 268, 278, 308, 365, 428, 478, 496, 471, 443, 453, 464, 461, 471, 481, 475, 479, 497, 517, 536, 531, 483, 456, 456, 450, 419, 351, 303, 259, 220, 183, 154, 136, 121, 111, 97, 69, 46, 37, 29, 16, 7, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,9,21,5,3024,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 122, 151, 196, 247, 269, 288, 305, 309, 306, 279, 188, 61, 5]","[0, 1, 2, 3, 4, 4, 4, 4, 4]"
5Different,4,1,10,15,1,800,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 129, 114, 91, 37, 7, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4]"
5Different,4,1,11,31,1,7920,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 185, 213, 231, 266, 318, 371, 435, 483, 525, 564, 581, 608, 628, 618, 529, 408, 259, 99, 22, 2, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,12,18,12,1800,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 220, 213, 205, 198, 133, 58, 12]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,13,39,1,17160,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 245, 282, 335, 374, 409, 434, 480, 555, 641, 724, 801, 857, 898, 939, 1016, 1102, 1129, 1076, 991, 904, 768, 608, 399, 158, 46, 5, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,14,23,6,3528,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 289, 342, 359, 359, 333, 268, 200, 109, 33, 6]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,15,47,10,32760,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 291, 349, 391, 434, 466, 512, 586, 655, 703, 745, 784, 863, 974, 1127, 1247, 1313, 1354, 1418, 1521, 1644, 1738, 1762, 1708, 1640, 1534, 1450, 1349, 1131, 851, 578, 283, 92, 27, 10]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,16,28,4,6272,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 291, 351, 398, 441, 473, 490, 526, 543, 502, 408, 303, 191, 92, 29, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,17,56,3,57120,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 291, 351, 400, 448, 483, 537, 618, 689, 748, 804, 850, 912, 988, 1096, 1175, 1230, 1285, 1423, 1597, 1778, 1903, 1984, 2068, 2171, 2279, 2401, 2507, 2532, 2540, 2505, 2396, 2319, 2214, 2085, 1901, 1609, 1251, 835, 405, 168, 81, 30, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,18,32,12,10368,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 291, 351, 400, 450, 490, 544, 628, 698, 719, 739, 740, 707, 667, 594, 516, 342, 174, 76, 12]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,19,66,1,93024,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 291, 351, 400, 450, 492, 551, 635, 714, 780, 838, 895, 971, 1057, 1165, 1256, 1329, 1373, 1448, 1545, 1676, 1783, 1899, 2020, 2194, 2366, 2571, 2736, 2856, 3017, 3173, 3279, 3328, 3378, 3477, 3559, 3546, 3503, 3420, 3308, 3245, 3136, 2952, 2657, 2169, 1633, 1131, 641, 325, 173, 71, 22, 8, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,1,20,38,1,16200,"[1, 3, 6, 12, 21, 33, 49, 75, 98, 123, 153, 187, 222, 247, 291, 351, 400, 450, 492, 553, 642, 721, 790, 850, 892, 929, 983, 1042, 1040, 982, 902, 801, 674, 527, 370, 201, 72, 14, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,9,22,2,3024,"[1, 3, 6, 11, 17, 26, 40, 62, 97, 136, 180, 219, 254, 279, 298, 312, 315, 277, 234, 159, 73, 23, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4]"
5Different,4,2,10,16,1,800,"[1, 3, 6, 11, 17, 26, 40, 61, 88, 111, 125, 111, 99, 67, 28, 5, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4]"
5Different,4,2,11,31,1,7920,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 196, 228, 264, 311, 377, 444, 485, 534, 565, 588, 612, 575, 520, 495, 481, 387, 225, 75, 18, 5, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,12,19,9,1800,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 197, 221, 200, 177, 168, 164, 93, 37, 9]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,13,39,1,17160,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 263, 292, 350, 423, 463, 515, 585, 660, 726, 777, 832, 903, 957, 1016, 1063, 1007, 974, 997, 976, 899, 685, 454, 227, 101, 38, 10, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,14,24,1,3528,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 303, 358, 372, 337, 315, 259, 186, 101, 52, 12, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,15,47,1,32760,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 306, 372, 445, 482, 520, 567, 624, 692, 754, 826, 917, 1033, 1141, 1222, 1268, 1318, 1421, 1521, 1609, 1630, 1626, 1669, 1709, 1710, 1564, 1364, 1121, 852, 617, 379, 184, 54, 10, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,16,28,4,6272,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 306, 375, 456, 493, 519, 528, 516, 489, 452, 368, 265, 169, 77, 23, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,17,55,9,57120,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 306, 375, 459, 504, 543, 594, 657, 729, 788, 844, 910, 994, 1082, 1179, 1282, 1374, 1494, 1647, 1772, 1858, 1930, 2042, 2176, 2260, 2295, 2354, 2431, 2532, 2626, 2651, 2499, 2253, 2031, 1811, 1568, 1270, 911, 499, 228, 89, 32, 9]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,18,33,1,10368,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 306, 375, 459, 507, 554, 605, 668, 719, 749, 756, 745, 704, 616, 514, 394, 273, 124, 55, 12, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,19,64,1,93024,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 306, 375, 459, 507, 557, 616, 680, 756, 821, 884, 963, 1062, 1151, 1226, 1295, 1362, 1462, 1581, 1694, 1843, 2017, 2172, 2287, 2402, 2526, 2652, 2797, 2967, 3137, 3225, 3243, 3254, 3351, 3558, 3755, 3808, 3628, 3419, 3230, 3060, 2868, 2552, 2119, 1643, 1134, 716, 403, 176, 72, 20, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,2,20,37,4,16200,"[1, 3, 6, 11, 17, 26, 40, 61, 91, 121, 157, 198, 234, 266, 306, 375, 459, 507, 557, 619, 691, 767, 833, 887, 952, 1014, 1049, 1061, 1016, 919, 838, 730, 589, 396, 238, 128, 33, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,9,23,1,3024,"[1, 3, 5, 8, 12, 18, 30, 51, 82, 114, 140, 178, 226, 277, 298, 303, 308, 307, 257, 200, 129, 66, 10, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4]"
5Different,4,3,10,16,7,800,"[1, 3, 5, 8, 12, 17, 26, 43, 66, 91, 113, 120, 107, 85, 66, 30, 7]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4]"
5Different,4,3,11,31,6,7920,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 93, 123, 167, 214, 262, 312, 366, 411, 453, 514, 580, 602, 591, 577, 550, 500, 481, 417, 293, 153, 56, 20, 6]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,12,21,1,1800,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 154, 184, 202, 203, 203, 193, 141, 75, 43, 13, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,13,40,1,17160,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 246, 289, 347, 402, 460, 527, 598, 664, 731, 795, 861, 937, 996, 1015, 1003, 987, 970, 932, 920, 879, 756, 542, 298, 134, 78, 34, 12, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,14,25,2,3528,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 296, 332, 329, 331, 322, 294, 248, 193, 123, 47, 12, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,15,48,2,32760,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 304, 352, 392, 441, 496, 564, 643, 737, 821, 883, 944, 1031, 1141, 1241, 1310, 1377, 1467, 1546, 1584, 1600, 1594, 1616, 1620, 1624, 1559, 1399, 1138, 868, 661, 432, 231, 93, 37, 13, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,16,29,3,6272,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 304, 360, 403, 451, 499, 532, 523, 496, 466, 394, 325, 252, 171, 74, 20, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,17,56,2,57120,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 304, 360, 411, 462, 521, 590, 654, 725, 793, 849, 906, 1008, 1146, 1279, 1366, 1422, 1491, 1610, 1779, 1938, 2031, 2085, 2155, 2211, 2271, 2353, 2440, 2529, 2553, 2564, 2453, 2279, 2032, 1786, 1556, 1300, 935, 514, 260, 119, 59, 20, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,18,34,1,10368,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 304, 360, 411, 470, 532, 600, 668, 718, 776, 771, 721, 690, 648, 575, 446, 315, 196, 113, 43, 11, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,19,64,4,93024,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 304, 360, 411, 470, 540, 611, 679, 754, 822, 881, 947, 1047, 1148, 1234, 1298, 1365, 1470, 1623, 1816, 2006, 2128, 2183, 2241, 2355, 2557, 2770, 2934, 3028, 3088, 3121, 3170, 3261, 3413, 3600, 3732, 3757, 3638, 3402, 3209, 3035, 2826, 2538, 2090, 1551, 1125, 737, 428, 203, 89, 26, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,3,20,38,6,16200,"[1, 3, 5, 8, 12, 17, 26, 42, 65, 92, 117, 156, 202, 253, 304, 360, 411, 470, 540, 619, 690, 764, 837, 883, 933, 1022, 1085, 1087, 1010, 915, 824, 733, 651, 493, 311, 159, 69, 25, 6]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,9,25,2,3024,"[1, 2, 3, 5, 8, 13, 21, 34, 52, 74, 101, 135, 166, 203, 238, 292, 321, 325, 306, 268, 209, 132, 68, 36, 9, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4]"
5Different,4,4,10,17,7,800,"[1, 2, 3, 5, 7, 10, 16, 27, 43, 67, 92, 107, 116, 114, 89, 61, 33, 7]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4]"
5Different,4,4,11,32,6,7920,"[1, 2, 3, 5, 7, 10, 15, 23, 35, 55, 87, 111, 144, 188, 237, 292, 349, 404, 449, 499, 563, 594, 588, 568, 550, 540, 496, 428, 336, 204, 96, 35, 6]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,12,23,4,1800,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 75, 98, 125, 157, 190, 207, 219, 210, 163, 103, 55, 29, 15, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,13,41,1,17160,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 125, 167, 223, 282, 335, 391, 449, 513, 585, 650, 720, 797, 877, 954, 995, 990, 975, 974, 950, 943, 962, 922, 771, 558, 371, 193, 104, 53, 12, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,14,27,2,3528,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 217, 261, 298, 325, 346, 339, 316, 273, 215, 159, 107, 45, 15, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,15,49,4,32760,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 224, 274, 315, 358, 417, 496, 567, 638, 720, 813, 923, 1014, 1063, 1130, 1226, 1331, 1436, 1541, 1593, 1579, 1529, 1531, 1554, 1610, 1635, 1570, 1376, 1145, 920, 681, 457, 272, 130, 58, 20, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,16,32,1,6272,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 224, 282, 326, 365, 417, 466, 498, 514, 521, 499, 458, 370, 286, 215, 124, 64, 26, 6, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,17,57,1,57120,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 224, 282, 334, 376, 427, 492, 553, 620, 690, 776, 892, 1000, 1070, 1151, 1261, 1413, 1548, 1629, 1706, 1797, 1884, 2008, 2140, 2243, 2272, 2270, 2297, 2364, 2435, 2488, 2486, 2394, 2237, 2016, 1802, 1579, 1265, 915, 579, 333, 159, 77, 25, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,18,36,1,10368,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 224, 282, 334, 384, 438, 502, 566, 630, 685, 745, 779, 773, 705, 661, 591, 521, 397, 260, 160, 85, 27, 8, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,19,66,1,93024,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 224, 282, 334, 384, 446, 513, 576, 644, 713, 792, 891, 981, 1034, 1111, 1225, 1373, 1525, 1654, 1762, 1866, 1995, 2170, 2308, 2376, 2439, 2571, 2761, 2929, 3055, 3125, 3098, 3151, 3275, 3445, 3573, 3639, 3597, 3483, 3291, 3186, 3080, 2831, 2441, 2033, 1564, 1137, 733, 439, 236, 92, 25, 5, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,4,4,20,40,4,16200,"[1, 2, 3, 5, 7, 10, 15, 23, 34, 50, 74, 94, 124, 168, 224, 282, 334, 384, 446, 521, 587, 654, 726, 803, 897, 973, 1014, 1044, 1043, 1039, 1009, 929, 825, 651, 472, 345, 217, 107, 46, 14, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,9,27,7,3024,"[1, 3, 6, 12, 22, 39, 58, 70, 81, 94, 110, 136, 170, 207, 241, 258, 256, 245, 218, 196, 154, 135, 117, 88, 64, 26, 10, 7]","[0, 1, 2, 3, 4, 4, 4, 4, 4]"
5Different,5,1,10,17,2,800,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 90, 87, 82, 65, 59, 29, 6, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4]"
5Different,5,1,11,40,8,7920,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 97, 115, 142, 171, 212, 259, 290, 306, 319, 345, 378, 398, 404, 380, 374, 376, 373, 364, 380, 413, 375, 301, 233, 186, 136, 88, 59, 36, 14, 8, 8]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,12,14,1,648,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 87, 91, 62, 27, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,13,54,3,17160,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 144, 165, 192, 225, 248, 261, 273, 294, 329, 376, 431, 484, 523, 550, 575, 588, 610, 643, 653, 674, 712, 732, 745, 751, 745, 734, 705, 632, 553, 474, 380, 323, 245, 165, 113, 90, 75, 68, 47, 17, 8, 9, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,14,28,9,3528,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 168, 196, 221, 232, 235, 231, 230, 228, 231, 235, 209, 169, 108, 55, 30, 9]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,15,68,8,32760,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 169, 199, 234, 260, 274, 277, 276, 282, 311, 379, 474, 572, 657, 698, 700, 715, 751, 766, 764, 779, 786, 814, 858, 898, 943, 1008, 1068, 1135, 1143, 1166, 1188, 1158, 1104, 1061, 1044, 1036, 1011, 916, 784, 637, 508, 440, 377, 309, 241, 198, 169, 145, 111, 82, 62, 38, 20, 8, 8, 8]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,16,22,4,2048,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 169, 200, 224, 213, 177, 137, 100, 60, 23, 4]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,17,82,3,57120,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 169, 200, 238, 267, 283, 290, 295, 304, 328, 377, 440, 505, 566, 605, 621, 656, 723, 791, 858, 920, 958, 964, 969, 1005, 1044, 1092, 1173, 1281, 1408, 1518, 1577, 1587, 1569, 1546, 1526, 1519, 1551, 1602, 1642, 1694, 1733, 1739, 1738, 1686, 1607, 1500, 1388, 1247, 1118, 990, 812, 629, 507, 429, 412, 408, 373, 306, 242, 225, 198, 138, 87, 73, 61, 38, 14, 8, 9, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,18,43,2,10368,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 169, 200, 238, 268, 286, 294, 300, 303, 316, 358, 416, 477, 529, 540, 520, 518, 533, 538, 549, 545, 472, 368, 249, 169, 136, 107, 84, 75, 51, 17, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,19,96,8,93024,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 169, 200, 238, 268, 287, 297, 304, 317, 347, 400, 464, 529, 596, 641, 646, 646, 659, 675, 734, 858, 1003, 1121, 1193, 1231, 1256, 1289, 1342, 1374, 1379, 1407, 1415, 1406, 1436, 1543, 1716, 1928, 2120, 2265, 2258, 2200, 2154, 2109, 2056, 2034, 2038, 2054, 2057, 2142, 2279, 2410, 2485, 2505, 2470, 2448, 2414, 2283, 2053, 1759, 1482, 1310, 1150, 1031, 943, 874, 778, 727, 655, 558, 474, 445, 416, 337, 267, 228, 188, 154, 116, 92, 67, 39, 21, 8, 8, 8]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,1,20,30,3,5000,"[1, 3, 6, 12, 22, 39, 58, 70, 80, 89, 98, 118, 145, 169, 200, 238, 268, 287, 298, 307, 319, 326, 336, 332, 340, 327, 266, 162, 66, 15, 3]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,2,9,27,1,3024,"[1, 3, 6, 11, 17, 27, 43, 57, 68, 82, 101, 126, 152, 176, 202, 229, 252, 253, 235, 231, 210, 163, 135, 115, 81, 36, 11, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4]"
5Different,5,2,10,10,1,160,"[1, 3, 6, 11, 17, 27, 40, 33, 15, 6, 1]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4]"
5Different,5,2,11,41,8,7920,"[1, 3, 6, 11, 17, 27, 43, 57, 65, 69, 75, 86, 99, 118, 147, 181, 209, 230, 248, 270, 298, 303, 316, 337, 347, 347, 364, 396, 418, 406, 396, 376, 322, 283, 263, 224, 204, 170, 100, 53, 27, 8]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4]"
5Different,5,2,12,50,2,11880,"[1, 3, 6, 11, 17, 27, 43, 57, 65, 68, 69, 73, 81, 99, 130, 167, 202, 231, 256, 278, 295, 305, 316, 342, 376, 403, 419, 452, 498, 524, 530, 505, 492, 484, 469, 447, 417, 398, 383, 355, 312, 250, 234, 228, 215, 168, 102, 52, 17, 6, 2]","[0, 1, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
