coset,d,k,n,diameter,last_layer_size,total_states,growth,central
2Different,2,1,12,10,1,12,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,13,11,1,13,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,14,12,1,14,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,15,13,1,15,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,16,14,1,16,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,17,15,1,17,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,18,16,1,18,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,19,17,1,19,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,1,20,18,1,20,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,9,7,1,9,"[1, 1, 1, 2, 1, 1, 1, 1]",
2Different,2,2,10,8,1,10,"[1, 1, 1, 2, 1, 1, 1, 1, 1]",
2Different,2,2,11,9,1,11,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",
2Different,2,2,12,10,1,12,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,13,11,1,13,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,14,12,1,14,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,15,13,1,15,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,16,14,1,16,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,17,15,1,17,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,18,16,1,18,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,19,17,1,19,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,2,20,18,1,20,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,9,7,1,9,"[1, 1, 1, 1, 2, 1, 1, 1]",
2Different,2,3,10,8,1,10,"[1, 1, 1, 1, 2, 1, 1, 1, 1]",
2Different,2,3,11,9,1,11,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",
2Different,2,3,12,10,1,12,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",
2Different,2,3,13,11,1,13,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,14,12,1,14,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,15,13,1,15,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,16,14,1,16,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,17,15,1,17,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,18,16,1,18,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,19,17,1,19,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,3,20,18,1,20,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,9,7,1,9,"[1, 1, 1, 1, 1, 2, 1, 1]",
2Different,2,4,10,8,1,10,"[1, 1, 1, 1, 1, 2, 1, 1, 1]",
2Different,2,4,11,9,1,11,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",
2Different,2,4,12,10,1,12,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",
2Different,2,4,13,11,1,13,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",
